Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region_Assam,Region_Bihar,Region_Chandigarh,Region_Chhattisgarh,Region_Delhi,Region_Goa,Region_Gujarat,Region_Haryana,Region_Himachal Pradesh,Region_Jammu & Kashmir,Region_Jharkhand,Region_Karnataka,Region_Kerala,Region_Madhya Pradesh,Region_Maharashtra,Region_Meghalaya,Region_Odisha,Region_Puducherry,Region_Punjab,Region_Rajasthan,Region_Sikkim,Region_Tamil Nadu,Region_Telangana,Region_Tripura,Region_Uttar Pradesh,Region_Uttarakhand,Region_West Bengal,Area_Urban
2019-06-30, Monthly,0.3007557988011467,0.10268869971802233,0.5384875084402431,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.2113630440448267,0.10446839359501772,0.486833220796759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.40317956737034144,0.0986021086514243,0.5891289669142471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.21318738597862916,0.11105944094886624,0.5298784604996625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.31495960385718014,0.10386204855400802,0.5526671168129643,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.21618451915559034,0.10554438432797837,0.4920661715057394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.3851967683085744,0.09959007908683873,0.5751181634031061,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.21123273390669797,0.1096234964028346,0.5133355840648212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.35431326557206155,0.09886019947170765,0.5408507765023632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.3117018504039615,0.09439992123878171,0.47383524645509795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.5422204847537139,0.08729054914146969,0.6164753544902094,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.4459212926765703,0.08451638991517883,0.49713031735313984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.46351316132395104,0.09421812925530301,0.5941931127616477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.1782642689601251,0.04365675547911045,0.5216070222822418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.14894448788115716,0.041717487909892756,0.47012153950033764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.2683085744070889,0.040837131855652214,0.5330857528696826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.24185561636695335,0.04198356069504676,0.5330857528696826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.2082356007297368,0.043526507307138945,0.5349426063470629,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.2060203283815481,0.04149609225961749,0.4976367319378799,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.2978889757623143,0.043189843336772726,0.5936866981769076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.25358352879854057,0.04096827663189685,0.5185685347738015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.2172270002606203,0.0435534273037301,0.536461850101283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.20093823299452698,0.04161652152137825,0.4915597569209994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.23077925462600993,0.038291694192600076,0.45307224848075633,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.02775605942142295,0.020441505876180377,0.08609047940580694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.3341151941621059,0.03679642068576275,0.49442943956785956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.01459473547041959,0.04768742905482011,0.47045914922349774,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.16653635652853793,0.05348498162693831,0.45982444294395686,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.15754495699765442,0.05192261587839368,0.4336596893990548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.17813395882199637,0.054668717951454296,0.4790681971640784,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.14751107636174096,0.059683316309150816,0.5205941931127618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.2511076361740944,0.05310086323528629,0.5021944632005402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.1919468334636435,0.05174727507200225,0.4449696151249156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.28915819650768837,0.05082364146028494,0.4934166103983796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.2766484232473287,0.046229288085928966,0.4206617150573937,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.2084962210059943,0.05055063639331177,0.43433490884537485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.0289288506645817,0.05833495469272726,0.424206617150574,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.24719833203023195,0.04374110188597646,0.3647873058744092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.09265050820953871,0.15278018724989798,0.43399729912221474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.11024237685691948,0.1589911618655221,0.46910871033085755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.13004951785248894,0.1510884043284643,0.4444632005401755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.15715402658326819,0.15233385326904872,0.46421336934503715,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.09278081834766744,0.16293490856353085,0.4711343686698178,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.0856137607505864,0.16864520623199453,0.48953409858203917,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
